IndividualA_ID,IndividualB_ID,Year,DSI,Log,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Rank Difference,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB,Male Infant Present,Female Infant Present
24,12,2007,2.013,0.324899497,0.507,mother-offspring,18.9,0.111,0,0.111,NA,NA,1,0,0,0,1,0
24,12,2008,1.491,0.20167018,0.507,mother-offspring,18.9,0.111,0,0.111,NA,NA,1,0,0,0,1,0
14,13,2007,0.578,-0.168770306,0,maternal non-kin,4,0.667,1,0.333,NA,NA,1,0,0,0,1,0
14,13,2008,0.792,-0.049635146,0,maternal non-kin,4,0.556,1,0.444,NA,NA,1,0,0,0,1,0
14,13,2009,0.074,-0.759450752,0,maternal non-kin,4,0.5,1,0.5,0.929,0.959,0,0,0,0,0,0
14,13,2010,0.739,-0.076238039,0,maternal non-kin,4,0.444,1,0.556,0.8,0.939,0,0,0,0,0,0
14,13,2011,1.001,0.041787319,0,maternal non-kin,4,0.556,1,0.444,0.917,0.969,0,0,0,0,0,0
15,13,2007,5.895,0.777789187,0.213,mother-offspring,12,0.889,1,0.111,NA,NA,0,1,0,0,0,1
15,13,2008,4.077,0.620864475,0.213,mother-offspring,12,0.889,1,0.111,NA,NA,0,1,0,0,0,1
15,13,2009,1.119,0.086003706,0.213,mother-offspring,12,0.9,1,0.1,0.887,0.959,0,1,0,0,0,1
16,13,2007,0.904,0.001733713,0,maternal non-kin,10,0.778,1,0.222,NA,NA,1,0,0,0,1,0
16,13,2008,1.225,0.122215878,0,maternal non-kin,10,0.778,1,0.222,NA,NA,1,0,0,0,1,0
16,13,2009,3.447,0.549861188,0,maternal non-kin,10,0.6,1,0.4,0.929,0.959,1,0,0,0,1,0
16,13,2010,0.104,-0.690369833,0,maternal non-kin,10,0.556,1,0.444,0.711,0.939,0,0,0,0,0,0
16,13,2011,1.211,0.117602692,0,maternal non-kin,10,0.667,1,0.333,0.834,0.969,1,0,0,0,1,0
17,13,2007,0.161,-0.583359493,0.175,Excluded from model testing for effect of kinship categories,2,0.222,1,0.778,NA,NA,0,0,0,0,0,0
17,13,2008,0.221,-0.493494968,0.175,Excluded from model testing for effect of kinship categories,2,0.222,1,0.778,NA,NA,0,0,0,0,0,0
17,13,2009,1.696,0.254306332,0.175,Excluded from model testing for effect of kinship categories,2,0.2,1,0.8,0.818,0.959,0,0,0,0,0,0
17,13,2010,1.319,0.151982395,0.175,Excluded from model testing for effect of kinship categories,2,0.222,1,0.778,0.83,0.939,1,0,0,0,1,0
17,13,2011,0.331,-0.36552273,0.175,Excluded from model testing for effect of kinship categories,2,0.222,1,0.778,0.851,0.969,0,0,0,0,0,0
20,13,2009,0.344,-0.35261703,0.049,maternal non-kin,6.1,0.1,1,0.9,0.844,0.959,1,0,0,0,1,0
20,13,2010,0.426,-0.279014256,0.049,maternal non-kin,6.1,0.111,1,0.889,0.822,0.939,1,0,0,0,1,0
20,13,2011,0.264,-0.438898616,0.049,maternal non-kin,6.1,0.111,1,0.889,0.921,0.969,0,0,0,0,0,0
21,13,2007,0.596,-0.15739076,0,maternal non-kin,2.5,0.556,1,0.444,NA,NA,0,0,0,0,0,0
21,13,2008,1.875,0.2955671,0,maternal non-kin,2.5,0.667,1,0.333,NA,NA,0,0,0,0,0,0
21,13,2009,1.709,0.257438567,0,maternal non-kin,2.5,0.7,1,0.3,0.915,0.959,0,0,0,0,0,0
21,13,2010,1.051,0.061075324,0,maternal non-kin,2.5,0.778,1,0.222,0.889,0.939,0,0,0,0,0,0
21,13,2011,2.714,0.449324093,0,maternal non-kin,2.5,0.778,1,0.222,0.95,0.969,0,1,0,0,0,1
23,13,2007,0.35,-0.346787486,0.195,maternal non-kin,4,0.444,1,0.556,NA,NA,0,0,0,0,0,0
23,13,2008,0.567,-0.175874166,0.195,maternal non-kin,4,0.444,1,0.556,NA,NA,1,0,0,0,1,0
23,13,2009,1.871,0.294686624,0.195,maternal non-kin,4,0.4,1,0.6,0.789,0.959,0,1,0,0,0,1
23,13,2010,0,-1,0.195,maternal non-kin,4,0.667,1,0.333,0.9,0.939,0,1,0,0,0,1
23,13,2011,1.05,0.06069784,0.195,maternal non-kin,4,0.444,1,0.556,0.911,0.969,0,0,0,0,0,0
24,13,2007,1.212,0.117933835,0.482,maternal non-kin,14,0.111,1,0.889,NA,NA,1,0,0,0,1,0
24,13,2008,0.502,-0.220403509,0.482,maternal non-kin,14,0.111,1,0.889,NA,NA,1,0,0,0,1,0
15,14,2007,0.525,-0.204119983,0,maternal non-kin,8,0.889,0.667,0.222,NA,NA,0,1,1,0,1,1
15,14,2008,0.98,0.033423755,0,maternal non-kin,8,0.889,0.556,0.333,NA,NA,0,1,1,0,1,1
15,14,2009,0,-1,0,maternal non-kin,8,0.9,0.5,0.4,0.887,0.929,0,1,0,0,0,1
16,14,2007,1.693,0.25358029,0.5,mother-offspring,6,0.778,0.667,0.111,NA,NA,1,0,1,0,1,0
16,14,2008,2.614,0.433609843,0.5,mother-offspring,6,0.778,0.556,0.222,NA,NA,1,0,1,0,1,0
16,14,2009,2.897,0.476686743,0.5,mother-offspring,6,0.6,0.5,0.1,0.929,0.929,1,0,0,0,1,0
16,14,2010,2.633,0.436639632,0.5,mother-offspring,6,0.556,0.444,0.112,0.711,0.8,0,0,0,0,0,0
16,14,2011,2.616,0.433929766,0.5,mother-offspring,6,0.667,0.556,0.111,0.834,0.917,1,0,0,0,1,0
17,14,2007,0.232,-0.478861916,0.026,Excluded from model testing for effect of kinship categories,2,0.222,0.667,0.445,NA,NA,0,0,1,0,1,0
17,14,2008,0.412,-0.290730039,0.026,Excluded from model testing for effect of kinship categories,2,0.222,0.556,0.334,NA,NA,0,0,1,0,1,0
17,14,2009,0.736,-0.077793723,0.026,Excluded from model testing for effect of kinship categories,2,0.2,0.5,0.3,0.818,0.929,0,0,0,0,0,0
17,14,2010,3.482,0.554125582,0.026,Excluded from model testing for effect of kinship categories,2,0.222,0.444,0.222,0.83,0.8,1,0,0,0,1,0
17,14,2011,2.164,0.354876423,0.026,Excluded from model testing for effect of kinship categories,2,0.222,0.556,0.334,0.851,0.917,0,0,0,0,0,0
20,14,2009,1.382,0.170848204,0,maternal non-kin,10.1,0.1,0.5,0.4,0.844,0.929,1,0,0,0,1,0
20,14,2010,0.326,-0.370590401,0,maternal non-kin,10.1,0.111,0.444,0.333,0.822,0.8,1,0,0,0,1,0
20,14,2011,0.11,-0.677780705,0,maternal non-kin,10.1,0.111,0.556,0.445,0.921,0.917,0,0,0,0,0,0
21,14,2007,1.511,0.20709554,0.27,maternal sib,6.5,0.556,0.667,0.111,NA,NA,0,0,1,0,1,0
21,14,2008,1.642,0.241048151,0.27,maternal sib,6.5,0.667,0.556,0.111,NA,NA,0,0,1,0,1,0
21,14,2009,1.504,0.205204364,0.27,maternal sib,6.5,0.7,0.5,0.2,0.915,0.929,0,0,0,0,0,0
21,14,2010,1.749,0.266936911,0.27,maternal sib,6.5,0.778,0.444,0.334,0.889,0.8,0,0,0,0,0,0
21,14,2011,2.206,0.362859303,0.27,maternal sib,6.5,0.778,0.556,0.222,0.95,0.917,0,1,0,0,0,1
23,14,2007,0.231,-0.480172006,0.204,maternal non-kin,8,0.444,0.667,0.223,NA,NA,0,0,1,0,1,0
23,14,2008,1.141,0.093771781,0.204,maternal non-kin,8,0.444,0.556,0.112,NA,NA,1,0,1,0,1,0
23,14,2009,0.618,-0.143875556,0.204,maternal non-kin,8,0.4,0.5,0.1,0.789,0.929,0,1,0,0,0,1
23,14,2010,0.764,-0.063486258,0.204,maternal non-kin,8,0.667,0.444,0.223,0.9,0.8,0,1,0,0,0,1
23,14,2011,0.368,-0.329754147,0.204,maternal non-kin,8,0.444,0.556,0.112,0.911,0.917,0,0,0,0,0,0
24,14,2007,1.304,0.147367108,0.018,maternal non-kin,10,0.111,0.667,0.556,NA,NA,1,0,1,0,1,0
24,14,2008,0.403,-0.298432015,0.018,maternal non-kin,10,0.111,0.556,0.445,NA,NA,1,0,1,0,1,0
16,15,2007,1.691,0.253095586,0.443,Excluded from model testing for effect of kinship categories,2,0.778,0.889,0.111,NA,NA,1,0,0,1,1,1
16,15,2008,1.688,0.252367514,0.443,Excluded from model testing for effect of kinship categories,2,0.778,0.889,0.111,NA,NA,1,0,0,1,1,1
17,15,2007,2.065,0.335457901,0,Excluded from model testing for effect of kinship categories,10,0.222,0.889,0.667,NA,NA,0,0,0,1,0,1
17,15,2008,0.187,-0.542118103,0,Excluded from model testing for effect of kinship categories,10,0.222,0.889,0.667,NA,NA,0,0,0,1,0,1
20,15,2009,0.787,-0.05207638,0.5,maternal non-kin,18.1,0.1,0.9,0.8,0.844,0.887,1,0,0,1,1,1
21,15,2007,1.566,0.221674997,0.212,maternal non-kin,14.5,0.556,0.889,0.333,NA,NA,0,0,0,1,0,1
21,15,2008,2.41,0.399673721,0.212,maternal non-kin,14.5,0.667,0.889,0.222,NA,NA,0,0,0,1,0,1
21,15,2009,2.012,0.324693914,0.212,maternal non-kin,14.5,0.7,0.9,0.2,0.915,0.887,0,0,0,1,0,1
23,15,2007,0.301,-0.396855627,0,Excluded from model testing for effect of kinship categories,16,0.444,0.889,0.445,NA,NA,0,0,0,1,0,1
23,15,2008,1.128,0.089198367,0,Excluded from model testing for effect of kinship categories,16,0.444,0.889,0.445,NA,NA,1,0,0,1,1,1
23,15,2009,0.61,-0.148741651,0,Excluded from model testing for effect of kinship categories,16,0.4,0.9,0.5,0.789,0.887,0,1,0,1,0,1
24,15,2007,0.228,-0.484126156,0.648,Excluded from model testing for effect of kinship categories,2,0.111,0.889,0.778,NA,NA,1,0,0,1,1,1
24,15,2008,0.391,-0.308918508,0.648,Excluded from model testing for effect of kinship categories,2,0.111,0.889,0.778,NA,NA,1,0,0,1,1,1
17,16,2007,0.317,-0.379863945,0,Excluded from model testing for effect of kinship categories,8,0.222,0.778,0.556,NA,NA,0,0,1,0,1,0
17,16,2008,0.455,-0.255707017,0,Excluded from model testing for effect of kinship categories,8,0.222,0.778,0.556,NA,NA,0,0,1,0,1,0
17,16,2009,0,-1,0,Excluded from model testing for effect of kinship categories,8,0.2,0.6,0.4,0.818,0.929,0,0,1,0,1,0
17,16,2010,0,-1,0,Excluded from model testing for effect of kinship categories,8,0.222,0.556,0.334,0.83,0.711,1,0,0,0,1,0
17,16,2011,0.209,-0.510041521,0,Excluded from model testing for effect of kinship categories,8,0.222,0.667,0.445,0.851,0.834,0,0,1,0,1,0
20,16,2009,0.375,-0.32330639,0.094,maternal non-kin,16.1,0.1,0.6,0.5,0.844,0.929,1,0,1,0,1,0
20,16,2010,0.708,-0.092588639,0.094,maternal non-kin,16.1,0.111,0.556,0.445,0.822,0.711,1,0,0,0,1,0
20,16,2011,0.707,-0.093126465,0.094,maternal non-kin,16.1,0.111,0.667,0.556,0.921,0.834,0,0,1,0,1,0
21,16,2007,0.751,-0.07007044,0.531,mother-offspring,12.5,0.556,0.778,0.222,NA,NA,0,0,1,0,1,0
21,16,2008,2.342,0.38774566,0.531,mother-offspring,12.5,0.667,0.778,0.111,NA,NA,0,0,1,0,1,0
21,16,2009,1.775,0.273001272,0.531,mother-offspring,12.5,0.7,0.6,0.1,0.915,0.929,0,0,1,0,1,0
21,16,2010,0.111,-0.675717545,0.531,mother-offspring,12.5,0.778,0.556,0.222,0.889,0.711,0,0,0,0,0,0
21,16,2011,1.778,0.273695588,0.531,mother-offspring,12.5,0.778,0.667,0.111,0.95,0.834,0,1,1,0,1,1
23,16,2007,0.721,-0.085656843,0.096,Excluded from model testing for effect of kinship categories,14.1,0.444,0.778,0.334,NA,NA,0,0,1,0,1,0
23,16,2008,1.544,0.215901813,0.096,Excluded from model testing for effect of kinship categories,14.1,0.444,0.778,0.334,NA,NA,1,0,1,0,1,0
23,16,2009,1.475,0.197280558,0.096,Excluded from model testing for effect of kinship categories,14.1,0.4,0.6,0.2,0.789,0.929,0,1,1,0,1,1
23,16,2010,0.218,-0.49757288,0.096,Excluded from model testing for effect of kinship categories,14.1,0.667,0.556,0.111,0.9,0.711,0,1,0,0,0,1
23,16,2011,0.277,-0.42365865,0.096,Excluded from model testing for effect of kinship categories,14.1,0.444,0.667,0.223,0.911,0.834,0,0,1,0,1,0
24,16,2007,0.565,-0.177178355,0.335,Excluded from model testing for effect of kinship categories,4,0.111,0.778,0.667,NA,NA,1,0,1,0,1,0
24,16,2008,0.513,-0.212539525,0.335,Excluded from model testing for effect of kinship categories,4,0.111,0.778,0.667,NA,NA,1,0,1,0,1,0
20,17,2009,0.674,-0.111259039,0,Excluded from model testing for effect of kinship categories,8.1,0.1,0.2,0.1,0.844,0.818,1,0,0,0,1,0
20,17,2010,0.443,-0.26520017,0,Excluded from model testing for effect of kinship categories,8.1,0.111,0.222,0.111,0.822,0.83,1,0,1,0,1,0
20,17,2011,0.556,-0.183096161,0,Excluded from model testing for effect of kinship categories,8.1,0.111,0.222,0.111,0.921,0.851,0,0,0,0,0,0
21,17,2007,0.084,-0.735182177,0,Excluded from model testing for effect of kinship categories,4.5,0.556,0.222,0.334,NA,NA,0,0,0,0,0,0
21,17,2008,0.664,-0.116906641,0,Excluded from model testing for effect of kinship categories,4.5,0.667,0.222,0.445,NA,NA,0,0,0,0,0,0
21,17,2009,0.339,-0.35753548,0,Excluded from model testing for effect of kinship categories,4.5,0.7,0.2,0.5,0.915,0.818,0,0,0,0,0,0
21,17,2010,1.951,0.31196566,0,Excluded from model testing for effect of kinship categories,4.5,0.778,0.222,0.556,0.889,0.83,0,0,1,0,1,0
21,17,2011,0.68,-0.107905397,0,Excluded from model testing for effect of kinship categories,4.5,0.778,0.222,0.556,0.95,0.851,0,1,0,0,0,1
23,17,2007,1.947,0.311117843,0.5,mother-offspring,6.1,0.444,0.222,0.222,NA,NA,0,0,0,0,0,0
23,17,2008,2.036,0.329601248,0.5,mother-offspring,6.1,0.444,0.222,0.222,NA,NA,1,0,0,0,1,0
23,17,2009,5.098,0.715836275,0.5,mother-offspring,6.1,0.4,0.2,0.2,0.789,0.818,0,1,0,0,0,1
23,17,2010,2.748,0.454539985,0.5,mother-offspring,6.1,0.667,0.222,0.445,0.9,0.83,0,1,1,0,1,1
23,17,2011,1.36,0.164352856,0.5,mother-offspring,6.1,0.444,0.222,0.222,0.911,0.851,0,0,0,0,0,0
